node   1  (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          ( 153,  135) (  25,   25) ( 153,  135) (  25,   25) ( 153,  135) (  25,   25) ( 153,  135) (  25,   25) ( 153,  135) (  25,   25)
          ( 153,  135) (  25,   25) ( 153,  135) (  25,   25) ( 153,  135) (  25,   25) ( 153,  135) ( 123,   25) ( 380,  246) ( 148,  148)
          ( 300,  300) ( 221,  221) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172)
          ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172)
          ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172)
          ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172)
          ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172)
          ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 356,  356) ( 172,  172) ( 472,  374) ( 356,  356)
          ( 420,  420) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
          ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334) ( 414,  414) ( 334,  334)
